ReviewPriority,State,Electorate,ActualWinner,ActualFinalTwo,LegacyPredictedWinner,CanonicalPredictedWinner,WinnerChanged,LegacyPredictedFinalTwo,CanonicalPredictedFinalTwo,FinalTwoChanged,LegacyWinnerShare,CanonicalWinnerShare,WinnerShareDeltaPP,LegacyWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual
MEDIUM,VIC,Holt,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5750037652628783,0.5447995581245434,-3.0204207138334938,True,True,True,True
MEDIUM,VIC,Lalor,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6217053296806552,0.5918599233784466,-2.9845406302208555,True,True,True,True
MEDIUM,VIC,Gorton,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5724709932098442,0.5427487994452639,-2.9722193764580296,True,True,True,True
MEDIUM,WA,Hasluck,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6374000652507951,0.6087017537528149,-2.869831149798019,True,True,True,True
MEDIUM,VIC,Mallee,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5553154221324675,0.5266827700187169,-2.8632652113750656,True,True,True,True
MEDIUM,WA,Perth,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6604980336994382,0.6326962691916499,-2.7801764507788262,True,True,True,True
MEDIUM,SA,Adelaide,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6760282010128201,0.6488339115438818,-2.7194289468938315,True,True,True,True
MEDIUM,NSW,Hume,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5827657243128157,0.5558835189477626,-2.6882205365053147,True,True,True,True
MEDIUM,QLD,Fadden,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5764924912934434,0.5497546123375657,-2.6737878955877648,True,True,True,True
MEDIUM,QLD,Oxley,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6648828551517074,0.6393387639667425,-2.5544091184964923,True,True,True,True
MEDIUM,QLD,Kennedy,OTH,ON+OTH,OTH,OTH,False,ON+OTH,ON+OTH,False,0.669650669193562,0.6951069221003443,2.545625290678233,True,True,True,True
MEDIUM,QLD,Longman,ON,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.5462472498621267,0.5708708294618925,2.46235795997658,True,True,True,True
MEDIUM,VIC,Corio,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6139607054459607,0.5895627309364384,-2.43979745095223,True,True,True,True
MEDIUM,TAS,Franklin,ALP,ALP+IND,IND,IND,False,ALP+IND,ALP+IND,False,0.5246711849440062,0.5004904829030495,-2.418070204095668,False,False,True,True
MEDIUM,VIC,Fraser,ALP,ALP+GRN,ALP,ALP,False,ALP+GRN,ALP+GRN,False,0.5569975827672007,0.5330195128198036,-2.397806994739704,True,True,True,True
MEDIUM,QLD,Rankin,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6290195036464609,0.6062538110303927,-2.27656926160682,True,True,True,True
MEDIUM,NSW,Cowper,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.524428565803576,0.5018417004827664,-2.2586865320809557,True,True,True,True
MEDIUM,QLD,Hinkler,ON,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5342405872472276,0.5118980330514106,-2.234255419581699,False,False,True,True
MEDIUM,VIC,Calwell,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5944529146640565,0.6165551627239251,2.21022480598686,True,True,True,True
MEDIUM,QLD,Ryan,GRN,GRN+LNP,GRN,GRN,False,GRN+LNP,GRN+LNP,False,0.5649813277442653,0.5444557840733005,-2.052554367096482,True,True,True,True
LOW,NSW,Cunningham,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6351951775496228,0.6159487920202863,-1.9246385529336552,True,True,True,True
LOW,SA,Kingston,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6620249400166252,0.6432011527149756,-1.8823787301649575,True,True,True,True
LOW,QLD,Capricornia,ON,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.6100525877233003,0.6287889441063379,1.8736356383037611,True,True,True,True
LOW,QLD,Herbert,LNP,ALP+LNP,LNP,LNP,False,LNP+ON,LNP+ON,False,0.6075548034352666,0.5895438308775781,-1.8010972557688465,True,True,False,False
LOW,NSW,Lyne,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5669911750543183,0.549105465936337,-1.7885709117981263,True,True,True,True
LOW,NSW,Macquarie,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.526258708456126,0.5083895280694959,-1.7869180386630101,True,True,True,True
LOW,VIC,Indi,IND,IND+ON,IND,IND,False,IND+ON,IND+ON,False,0.5685280064936657,0.5507025364756084,-1.7825470018057343,True,True,True,True
LOW,NSW,Parkes,ON,LNP+ON,ON,ON,False,LNP+ON,LNP+ON,False,0.5014623401541121,0.5185007907135473,1.7038450559435203,True,True,True,True
LOW,SA,Boothby,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.6058649424612531,0.6218341774305235,1.5969234969270385,True,True,True,True
LOW,NSW,Chifley,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6584631714627353,0.6426797196654187,-1.578345179731655,True,True,True,True
LOW,SA,Spence,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6022766906522999,0.586643162663963,-1.5633527988336948,True,True,True,True
LOW,VIC,Hawke,ON,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.5203640062894259,0.5350277849545819,1.4663778665156002,True,True,True,True
LOW,QLD,Blair,ON,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.5337389694227489,0.5477286817955772,1.3989712372828311,True,True,True,True
LOW,NSW,Wentworth,IND,IND+LNP,IND,IND,False,IND+LNP,IND+LNP,False,0.5850831974164765,0.5988988379481364,1.3815640531659845,True,True,True,True
LOW,NSW,Farrer,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5862526485830966,0.5729358836415779,-1.3316764941518677,True,True,True,True
LOW,SA,Barker,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5978397789425802,0.5846348691034542,-1.3204909839126033,True,True,True,True
LOW,VIC,Ballarat,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.558616158320384,0.5455476304518526,-1.306852786853141,True,True,True,True
LOW,WA,Burt,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6188219624425311,0.6058900042576681,-1.2931958184862924,True,True,True,True
LOW,VIC,Nicholls,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5409712971424966,0.528155266542903,-1.2816030599593575,True,True,True,True
LOW,WA,Brand,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6143470912224663,0.602546046934246,-1.1801044288220375,True,True,True,True
LOW,NSW,Robertson,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5344973168746995,0.5228858248831385,-1.1611491991560974,True,True,True,True
LOW,QLD,Fisher,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5463612901130738,0.5353957883402536,-1.0965501772820185,True,True,True,True
LOW,VIC,Flinders,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5327436666410754,0.522054251521402,-1.0689415119673473,True,True,True,True
LOW,NSW,Mackellar,IND,IND+LNP,IND,IND,False,IND+LNP,IND+LNP,False,0.5551901787862318,0.5658707939403111,1.0680615154079365,True,True,True,True
LOW,ACT,Canberra,ALP,ALP+GRN,ALP,ALP,False,ALP+GRN,ALP+GRN,False,0.6226370029741982,0.6333096968689977,1.0672693894799523,True,True,True,True
LOW,NT,Lingiari,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5181034765156965,0.5282629560337316,1.0159479518035086,True,True,True,True
LOW,NSW,Dobell,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5274246721926266,0.5173062124494533,-1.011845974317327,True,True,True,True
LOW,VIC,Wannon,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5350020298622633,0.525376375299049,-0.9625654563214292,True,True,True,True
LOW,SA,Sturt,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5249867717566996,0.5169722235879667,-0.8014548168732927,True,True,True,True
LOW,TAS,Lyons,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5104605012732439,0.5184038395240546,0.7943338250810617,True,True,True,True
LOW,NSW,Warringah,IND,IND+LNP,IND,IND,False,IND+LNP,IND+LNP,False,0.6196225397502897,0.6273033387300015,0.7680798979711856,True,True,True,True
LOW,NSW,Sydney,ALP,ALP+GRN,ALP,ALP,False,ALP+GRN,ALP+GRN,False,0.6282274702515915,0.6356002327399555,0.7372762488363938,True,True,True,True
LOW,VIC,Wills,GRN,ALP+GRN,GRN,GRN,False,ALP+GRN,ALP+GRN,False,0.5392003012381791,0.5321784432806355,-0.702185795754362,True,True,True,True
LOW,NSW,Lindsay,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5391492938635004,0.5321508100059948,-0.6998483857505566,True,True,True,True
LOW,NSW,Gilmore,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5067841101145397,0.5135417333050272,0.675762319048745,True,True,True,True
LOW,VIC,McEwen,ALP,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.5076170517779353,0.5011628606959695,-0.6454191081965766,False,False,True,True
LOW,NSW,Whitlam,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5227218644227428,0.5163060845454653,-0.6415779877277483,True,True,True,True
LOW,VIC,Macnamara,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.6289896592623475,0.6354002471651481,0.641058790280058,True,True,True,True
LOW,QLD,Wide Bay,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5238144737898889,0.5174067113469097,-0.6407762442979137,True,True,True,True
LOW,NSW,Shortland,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5424165324635732,0.5360315242770859,-0.6385008186487351,True,True,True,True
LOW,QLD,Petrie,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5158053805064953,0.5217197272058897,0.591434669939439,True,True,True,True
LOW,QLD,Griffith,GRN,ALP+GRN,GRN,GRN,False,ALP+GRN,ALP+GRN,False,0.52074055407066,0.5148986558730513,-0.5841898197608719,True,True,True,True
LOW,NSW,Page,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.612247590736199,0.6069200059051849,-0.5327584831014143,True,True,True,True
LOW,QLD,Bonner,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5155082018888925,0.5103297630654147,-0.5178438823477793,True,True,True,True
LOW,VIC,Casey,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5737147375625743,0.5685387894035957,-0.5175948158978594,True,True,True,True
LOW,VIC,Menzies,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5072293797492222,0.5122892633804776,0.5059883631255424,True,True,True,True
LOW,QLD,Fairfax,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5886636516540539,0.5839738225133818,-0.4689829140672064,True,True,True,True
LOW,NSW,Mitchell,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5633489483239419,0.5680149295198946,0.466598119595274,True,True,True,True
LOW,NSW,Berowra,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5627437101122432,0.5666177579518952,0.38740478396519507,True,True,True,True
LOW,QLD,Leichhardt,ON,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.5672891977698944,0.5634711500554602,-0.38180477144341696,True,True,True,True
LOW,QLD,Dawson,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5277820307263799,0.5240545314630841,-0.37274992632957415,True,True,True,True
LOW,NSW,Bradfield,IND,IND+LNP,IND,IND,False,IND+LNP,IND+LNP,False,0.526723140856812,0.530266940679271,0.3543799822459004,True,True,True,True
LOW,VIC,La Trobe,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.547064541389629,0.5504869526840522,0.3422411294423222,True,True,True,True
LOW,WA,Tangney,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5523150935641914,0.5489411634074657,-0.3373930156725713,True,True,True,True
LOW,NSW,Eden-Monaro,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5089424826683149,0.5055826040883695,-0.33598785799453523,True,True,True,True
LOW,NSW,Bennelong,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5572032576562811,0.5538552897904265,-0.3347967865854562,True,True,True,True
LOW,QLD,Groom,LNP,IND+LNP,LNP,LNP,False,IND+LNP,IND+LNP,False,0.5623953725077492,0.5591623910144004,-0.323298149334883,True,True,True,True
LOW,QLD,Maranoa,LNP,LNP+ON,LNP,LNP,False,LNP+ON,LNP+ON,False,0.5600634628805576,0.5569967496972485,-0.3066713183309089,True,True,True,True
LOW,NSW,Cook,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5968563799936673,0.59960744544804,0.27510654543727586,True,True,True,True
LOW,QLD,Bowman,LNP,ALP+LNP,LNP,LNP,False,ALP+LNP,ALP+LNP,False,0.5429619471197269,0.54552809440507,0.2566147285343101,True,True,True,True
