division_old,state_old,ALP_old,LNP_old,GRN_old,ON_old,IND_old,OTH_old,division_key,division_corrected,state_corrected,ALP_corrected,LNP_corrected,GRN_corrected,ON_corrected,IND_corrected,OTH_corrected,ALP_pvi_delta,LNP_pvi_delta,GRN_pvi_delta,ON_pvi_delta,IND_pvi_delta,OTH_pvi_delta,ALP_old_primary,LNP_old_primary,GRN_old_primary,ON_old_primary,IND_old_primary,OTH_old_primary,ALP_corrected_primary,LNP_corrected_primary,GRN_corrected_primary,ON_corrected_primary,IND_corrected_primary,OTH_corrected_primary,ALP_primary_delta_pp,LNP_primary_delta_pp,GRN_primary_delta_pp,ON_primary_delta_pp,IND_primary_delta_pp,OTH_primary_delta_pp,max_abs_primary_delta_pp
Kennedy,QLD,-0.2126,0.11,-0.0842,-0.021099999999999997,0.2198,-0.0111,KENNEDY,Kennedy,QLD,-0.1774517406,-0.0788395536,-0.06159142467,-1.006379929,-0.07,0.3760379547,0.03514825940000002,-0.1888395536,0.02260857533,-0.9852799289999999,-0.2898,0.3871379547,0.1368253112388389,0.4474557591887581,0.05672676342681122,0.06523766811424105,0.22698777658449268,0.06676672144685822,0.19384282572157124,0.28070313157289367,0.08440988028359059,0.04786861873878915,0.026493814808909225,0.36668172887424616,5.701751448273234,-16.67526276158644,2.768311685677937,-1.7369049375451897,-20.049396177558346,29.991500742738797,29.991500742738797
Corio,VIC,-0.22460000000000002,0.0141,-0.0842,0.0148,0.2792,0.0015,CORIO,Corio,VIC,0.08539776098,-0.07876340506,0.03383162973,0.297082515,-0.03993735065,-0.02364630354,0.30999776098000004,-0.09286340506,0.11803162973,0.282282515,-0.31913735065,-0.02514630354,0.13261596678077808,0.3699384070656856,0.060434320996806505,0.07067917451919307,0.28620451553843496,0.08012761509910178,0.4302206808089874,0.24313322596250317,0.1498076281973939,0.07673492848748051,0.04331002734453757,0.056793509199097536,29.760471402820933,-12.680518110318243,8.937330720058739,0.6055753968287434,-24.28944881938974,-2.3334105900004247,29.760471402820933
Lyne,NSW,0.1696,-0.0977,0.014199999999999999,-0.0045000000000000005,-0.07,-0.0233,LYNE,Lyne,NSW,-0.1388314243,0.05259781664,-0.05464570187,0.02556597807,0.0822,0.08481571788,-0.30843142430000003,0.15029781664,-0.06884570187,0.03006597807,0.1522,0.10811571788,0.5062409444650525,0.22007901960327544,0.13224203117062563,0.06279721205036724,0.022679537324302203,0.05596125538637708,0.2100026194729997,0.38310238844242794,0.08004812404894948,0.06880641459604107,0.12826948692563933,0.12977096651394254,-29.62383249920528,16.30233688391525,-5.219390712167615,0.6009202545673831,10.558994960133713,7.380971112756546,29.62383249920528
Adelaide,SA,-0.1959,0.038599999999999995,-0.019,-0.039599999999999996,0.27899999999999997,-0.07,ADELAIDE,Adelaide,SA,0.1079401491,-0.06666278892,0.07039401082,-0.499841212,-0.07,-0.02032552941,0.3038401491,-0.10526278891999999,0.08939401082000001,-0.460241212,-0.349,0.049674470590000006,0.1542834934132492,0.37351766402429964,0.11107886340915876,0.06479142626423569,0.26899046687676414,0.027338086012292564,0.44296059492683276,0.249913152120198,0.175339123372806,0.05165295950566899,0.022445872702015122,0.05768829737247921,28.867710151358356,-12.360451190410165,6.426025996364723,-1.3138466758566696,-24.654459417474904,3.0350211360186643,28.867710151358356
Melbourne,VIC,-0.0689,0.045,-0.06849999999999999,0.0768,-0.020099999999999996,0.0363,MELBOURNE,Melbourne,VIC,-0.04144182333,-0.1307842952,0.2855912446,-1.189048991,-0.0232,-0.04236061284,0.02745817667,-0.1757842952,0.3540912446,-1.265848991,-0.003100000000000002,-0.07866061284,0.2966648874626839,0.39554096027741215,0.0727091005454262,0.0711739087689306,0.06121830678488723,0.10269283616065986,0.3087547000541773,0.1935341357433384,0.35818692745599123,0.03860549109165919,0.055576827135940414,0.04534191851889345,1.2089812591493443,-20.200682453407374,28.5477826910565,-3.25684176772714,-0.5641479648946818,-5.735091764176641,28.5477826910565
Berowra,NSW,0.19260000000000002,-0.1759,0.1186,-0.0265,-0.0496,-0.0576,BEROWRA,Berowra,NSW,-0.07848101551,0.1029319985,0.004545811989,-0.3016068096,0.01933775786,-0.04098478818,-0.27108101551,0.2788319985,-0.114054188011,-0.2751068096,0.06893775786,0.016615211819999996,0.5192695791481776,0.13945777209471663,0.21116950542669308,0.061028743983084235,0.03568687985178646,0.033387519495541994,0.2646586164195583,0.4244602638047076,0.125325290123315,0.05755607208936418,0.08285349805200115,0.04514625951105384,-25.461096272861933,28.50024917099909,-8.584421530337808,-0.3472671893720053,4.71666182002147,1.1758740015511846,28.50024917099909
Mackellar,NSW,0.024900000000000002,-0.0492,-0.012199999999999999,0.0383,-0.07,0.0668,MACKELLAR,Mackellar,NSW,-0.2292083409,0.03922531002,-0.06028409524,-1.066965928,0.3014089627,-0.03232644282,-0.2541083409,0.08842531002000001,-0.04808409524,-1.105265928,0.3714089627,-0.09912644282,0.38555940321949284,0.28434395682942026,0.1178727066320143,0.06785102268135952,0.024019052098059355,0.12035385853965377,0.12638733134421215,0.39482487188158094,0.08065264100722244,0.04379594467117295,0.2987162181302891,0.055622992965522554,-25.917207187528067,11.048091505216068,-3.7220065624791854,-2.4055078010186572,27.46971660322297,-6.473086557413121,27.46971660322297
Bowman,QLD,-0.22920000000000001,0.0392,-0.0603,-0.0381,0.3014,-0.0323,BOWMAN,Bowman,QLD,-0.02975997389,0.07523101577,-0.001370115153,0.1983879192,-0.07,0.01250721267,0.19944002611,0.03603101577000001,0.058929884847,0.2364879192,-0.3714,0.04480721267,0.12328744895027408,0.38451126666418195,0.07884048822321765,0.06663325259512826,0.29261665087825944,0.05411089268893859,0.311256032856747,0.3944179946207561,0.11995877961583068,0.07236620118677567,0.022648411710706463,0.0793525800091842,18.796858390647294,0.9906727956574157,4.111829139261303,0.5732948591647413,-26.996823916755297,2.5241687320245614,26.996823916755297
Flinders,VIC,-0.0414,-0.1308,0.28559999999999997,-0.0395,-0.0232,-0.0424,FLINDERS,Flinders,VIC,-0.1162007209,0.08958253831,-0.05056070043,-0.256389741,0.1482,-0.00754255197,-0.0748007209,0.22038253831,-0.33616070042999996,-0.216889741,0.1714,0.03485744803,0.30100717830480894,0.1883544412494517,0.34998013475200546,0.06220966605141232,0.05440802329387692,0.044040556348444546,0.22398141368945237,0.40502895652699833,0.08016645039815867,0.05794251975673338,0.16705357573232768,0.0658270838963298,-7.7025764615356564,21.667451527754665,-26.981368435384677,-0.42671462946789407,11.264555243845075,2.178652754788525,26.981368435384677
Isaacs,VIC,-0.126,0.127,-0.054299999999999994,0.0421,0.2022,0.016,ISAACS,Isaacs,VIC,0.1368913421,-0.04148609183,0.01343026433,-0.3889101449,-0.07,-0.02202767006,0.2628913421,-0.16848609183000002,0.06773026433,-0.4310101449,-0.2722,-0.038027670060000004,0.1982646829617093,0.4082787865357415,0.07157757980598022,0.05897088995740501,0.18837272262500201,0.07453533811416202,0.46648662017835113,0.2721561613816504,0.1292130412965269,0.05389311818523033,0.02221962920826409,0.05603142974997714,26.822193721664185,-13.612262515409112,5.763546149054667,-0.507777177217468,-16.615309341673793,-1.8503908364184882,26.822193721664185
Parkes,NSW,0.1311,-0.0863,-0.0001,0.0037,-0.07,0.020099999999999996,PARKES,Parkes,NSW,-0.1443121359,0.0942419418,-0.06449381573,0.8992017112,-0.04409002021,0.08410114766,-0.2754121359,0.1805419418,-0.06439381573,0.8955017112,0.02590997979000001,0.06400114766000001,0.47303239677325315,0.23374111840408537,0.12209087282475596,0.06366069170542672,0.02290332367216159,0.08457159662031721,0.20948365528500212,0.4366494226411008,0.07376949658647668,0.10538709919805836,0.04222131294077971,0.13248901334858224,-26.354874148825104,20.290830423701543,-4.832137623827928,4.172640749263164,1.9317989268618119,4.791741672826502,26.354874148825104
Wannon,VIC,0.0438,-0.1198,-0.0001,-0.0161,0.1942,-0.0395,WANNON,Wannon,VIC,-0.2125567296,0.1099931523,-0.08424682704,-0.4527886176,0.219781951,-0.01107349469,-0.2563567296,0.2297931523,-0.08414682704,-0.4366886176,0.02558195099999999,0.028426505310000003,0.37912108201628486,0.1962060033122632,0.11978969329252111,0.061884582416351516,0.1978262839544771,0.04517235500810203,0.13822930522460278,0.4525686291554985,0.057116440641990146,0.056188570166136244,0.22824697161707297,0.06765008319469952,-24.08917767916821,25.636262584323532,-6.267325265053096,-0.5696012250215272,3.042068766259587,2.247772818659749,25.636262584323532
Flynn,QLD,0.0173,-0.1909,0.2253,-0.027999999999999997,-0.07,0.045,FLYNN,Flynn,QLD,-0.06886947563,0.045036273,-0.06848843482,0.9098364881,-0.02005382131,0.03633341663,-0.08616947562999999,0.23593627299999997,-0.29378843482,0.9378364881,0.04994617869000001,-0.008666583370000001,0.3684429082691353,0.13128051529014345,0.3096689667653465,0.06417462494577938,0.023433438026272287,0.10299954670332301,0.28569147233425196,0.3814757519136785,0.06985706959443189,0.1050461911447128,0.058727062437920814,0.0992024525750042,-8.275143593488332,25.019523662353503,-23.98118971709146,4.087156619893341,3.529362441164853,-0.3797094128318815,25.019523662353503
Warringah,NSW,0.0281,0.0073,0.0023,0.0,-0.0148,-0.022000000000000002,WARRINGAH,Warringah,NSW,-0.201469161,-0.0043136331,-0.03682012707,-1.294294479,0.3118718221,-0.03510008595,-0.22956916100000002,-0.0116136331,-0.039120127069999996,-1.294294479,0.32667182209999995,-0.013100085949999996,0.3693211447861259,0.3267538426882926,0.12351068476611037,0.0632928592067409,0.06000014559568206,0.05712132295704826,0.15592411333231046,0.3454349987492653,0.10079645256563208,0.03910639905020352,0.3052836086435672,0.05345442765902152,-21.33970314538154,1.8681156060972703,-2.271423220047829,-2.4186460156537373,24.528346304788514,-0.36668952980267455,24.528346304788514
Hotham,VIC,-0.1162,0.08960000000000001,-0.0506,-0.0124,0.1482,-0.0075,HOTHAM,Hotham,VIC,0.1334616471,-0.06340637622,0.02592218179,-0.4406361883,-0.07,-0.007992531847,0.2496616471,-0.15300637622000002,0.07652218179,-0.4282361883,-0.2182,-0.0004925318470000006,0.2230127108426834,0.4026911268909487,0.07997659041477409,0.06189977155148072,0.16704661647362204,0.06537318382649103,0.4667105079825405,0.2525121309601319,0.14000259902156947,0.05299061689400335,0.02238944437328265,0.06539470076847208,24.36977971398571,-15.01789959308168,6.0026008606795385,-0.8909154657477374,-14.46571721003394,0.002151694198104792,24.36977971398571
Wide Bay,QLD,0.18359999999999999,-0.09380000000000001,0.042800000000000005,-0.225,-0.07,-0.0103,WIDE BAY,Wide Bay,QLD,-0.09293637514,0.07367014832,-0.03365615219,0.7166732535,-0.0242,0.02951732897,-0.27653637513999996,0.16747014832,-0.07645615219,0.9416732535,0.04580000000000001,0.039817328969999996,0.498807271510492,0.21484459312952306,0.1486167232614249,0.05431202707256138,0.02175533210976645,0.061664052916232406,0.2562642264517266,0.40431975262816966,0.09708520300135863,0.09454696247241795,0.054841183858817054,0.0929426715875102,-24.25430450587654,18.94751594986466,-5.153152026006626,4.023493539985657,3.30858517490506,3.127861867127779,24.25430450587654
Jagajaga,VIC,-0.1685,0.13369999999999999,-0.04650000000000001,0.031400000000000004,0.0689,0.08810000000000001,JAGAJAGA,Jagajaga,VIC,0.08042739066,-0.03387689426,0.03662300651,-0.5959127908,-0.0125,-0.03412227743,0.24892739066000003,-0.16757689426,0.08312300651000001,-0.6273127908,-0.0814,-0.12222227743000001,0.17127845747095377,0.44393067860491753,0.08276420449430046,0.06285453892643966,0.11389972245543344,0.12527239804795515,0.41354774322662957,0.28076166095562616,0.1478643821083438,0.0490459807883405,0.06019597817617654,0.04858425474488325,24.22692857556758,-16.31690176492914,6.510017761404334,-1.3808558138099163,-5.3703744279256895,-7.668814330307189,24.22692857556758
Wentworth,NSW,0.055099999999999996,-0.0383,-0.011899999999999999,0.0034000000000000002,-0.0407,0.0363,WENTWORTH,Wentworth,NSW,-0.1959448255,0.03864572244,-0.01900793074,-1.137378727,0.2789966336,-0.07,-0.2510448255,0.07694572244,-0.007107930740000002,-1.140778727,0.3196966336,-0.1063,0.4000987257132512,0.28388298278724877,0.11334063576027807,0.06404901826664358,0.042990527274658914,0.09563811019791932,0.1582553024157924,0.38387032753484335,0.11369806513852095,0.04122954204311599,0.27481238554581594,0.028134377321911534,-24.184342329745885,9.998734474759457,0.03574293782428739,-2.2819476223527593,23.182185827115703,-6.750373287600778,24.184342329745885
Kooyong,VIC,-0.0096,-0.0516,0.20170000000000002,-0.0338,-0.07,-0.0381,KOOYONG,Kooyong,VIC,-0.2230590946,0.1040738064,-0.03939408729,-1.973109341,0.2635563432,-0.05313253807,-0.2134590946,0.1556738064,-0.24109408729,-1.939309341,0.3335563432,-0.015032538069999997,0.32742632166095365,0.26389009681217523,0.27866047088316376,0.06142913653524197,0.0224919489395914,0.04610202516887395,0.12814911744867635,0.44922735426392707,0.09526884936176525,0.027193471150205133,0.26081133506731535,0.03934987270811088,-19.92772042122773,18.533725745175182,-18.339162152139853,-3.4235665385036835,23.831938612772397,-0.6752152460763063,23.831938612772397
Fisher,QLD,0.0758,-0.1739,0.138,-0.013500000000000002,-0.07,0.0421,FISHER,Fisher,QLD,-0.1152313526,0.06183985414,-0.01543349483,0.1266571401,0.0902,0.006877211493,-0.1910313526,0.23573985413999998,-0.15343349483000002,0.14015714010000002,0.1602,-0.035222788507,0.4261796768266236,0.1482358237472744,0.23719025344033562,0.06436168125652351,0.023342694249697267,0.10068987047954535,0.22877669323075742,0.3839326657264835,0.10963540419429453,0.07052984212916812,0.1308141950383288,0.07631119968096763,-19.74029835958662,23.56968419792091,-12.75548492460411,0.6168160872644601,10.747150078863154,-2.437867079857772,23.56968419792091
Fowler,NSW,0.0755,-0.0325,0.0788,-0.0026,-0.07,-0.0506,FOWLER,Fowler,NSW,0.03256600207,-0.1918945404,-0.05919199144,-0.380591281,0.2540177688,-0.01616130754,-0.042933997929999995,-0.1593945404,-0.13799199144,-0.377991281,0.3240177688,0.03443869246,0.4111306527802111,0.2833306071712451,0.1823151449671917,0.06245105576001214,0.022534472352303964,0.03823806696903597,0.4012461601553504,0.13632893629303097,0.07974039894153942,0.05937751408957025,0.2577487069023098,0.06555828361819922,-0.9884492624860686,-14.700167087821411,-10.257474602565228,-0.30735416704418883,23.52142345500058,2.732021664916325,23.52142345500058
Brand,WA,0.0326,-0.19190000000000002,-0.0592,-0.018500000000000003,0.254,-0.016200000000000003,BRAND,Brand,WA,0.1300056529,-0.1256806651,0.005333969486,0.5877573643,-0.07,0.01037619625,0.0974056529,0.06621933490000001,0.064533969486,0.6062573643,-0.324,0.026576196250000003,0.39775412689787193,0.13492274115790637,0.07921862709602924,0.06677372097631185,0.2565696791754919,0.06476110469638871,0.48110244755199666,0.1981081884448399,0.12859441705401464,0.08890415523625605,0.023247577208068384,0.08004321450482432,8.334832065412472,6.318544728693354,4.93757899579854,2.213043425994421,-23.332210196742352,1.528210980843561,23.332210196742352
Calare,NSW,-0.0761,0.1073,-0.044199999999999996,0.015,-0.0281,0.0332,CALARE,Calare,NSW,-0.224552868,0.01414775048,-0.08423329773,0.2400101762,0.2791533421,0.001470948883,-0.148452868,-0.09315224952000001,-0.04003329773000001,0.22501017620000002,0.3072533421,-0.031729051117,0.26975930072207044,0.43261926745086904,0.08751824742475602,0.06455640112073241,0.05169442581142706,0.09385235747014503,0.13124776553321296,0.36657907706431325,0.059618001676555045,0.0811745768777641,0.2818934024472311,0.07948717640092348,-13.851153518885747,-6.604019038655578,-2.790024574820097,1.6618175757031686,23.019897663580405,-1.436518106922155,23.019897663580405
Riverina,NSW,0.1079,-0.0667,0.0704,-0.022799999999999997,-0.07,-0.0203,RIVERINA,Riverina,NSW,-0.1400977239,0.0605177223,-0.07148404079,0.5287927986,0.0928,0.05800704905,-0.2479977239,0.1272177223,-0.14188404079,0.5515927986,0.1628,0.07830704905,0.43847478703198306,0.2469982972608719,0.17399224863585747,0.06126397806055639,0.02231619314354478,0.056954495867186455,0.20856783090163722,0.39100636970491787,0.06622658223912789,0.08681997649722617,0.13548064251022707,0.1118985981468637,-22.990695613034585,14.400807244404595,-10.776566639672957,2.555599843666978,11.31644493666823,5.494410227967725,22.990695613034585
Cowper,NSW,0.0352,0.0354,-0.043,-0.0168,0.0027,0.0013,COWPER,Cowper,NSW,-0.2171474939,0.05519116582,-0.0758231784,-0.1527682687,0.2177850954,0.02027649557,-0.2523474939,0.019791165819999998,-0.0328231784,-0.13596826869999998,0.21508509539999998,0.01897649557,0.3670235495035163,0.3461767394930348,0.08520471113285583,0.06124281131965812,0.07001353881449963,0.07033864973643537,0.13719310990496297,0.4056871700877747,0.06596064562146757,0.06655182474613913,0.2331844731188053,0.09142277652085035,-22.98304395985533,5.951043059473992,-1.9244065511388255,0.5309013426481012,16.317093430430567,2.108412678441497,22.98304395985533
Bean,ACT,-0.0446,0.16690000000000002,-0.024,-0.0179,-0.07,-0.011899999999999999,BEAN,Bean,ACT,0.07154659202,-0.08077156767,-0.01387013145,-3.844269812,0.1506701071,-0.07,0.11614659202,-0.24767156767000004,0.01012986855,-3.826369812,0.2206701071,-0.058100000000000006,0.28708957338728097,0.4699707557497804,0.09894789282001507,0.06057387446245614,0.02201424023139003,0.061403663349077396,0.4256296787882008,0.24644127331382407,0.11392816211529638,0.010569798314930623,0.17628457904750938,0.02714650842023871,13.854010540091982,-22.352948243595634,1.4980269295281317,-5.000407614752552,15.427033881611935,-3.4257154928838682,22.352948243595634
Dunkley,VIC,-0.18,0.1284,-0.0623,0.0022,0.12689999999999999,0.030699999999999998,DUNKLEY,Dunkley,VIC,0.04758728531,-0.006116455606,-0.008685896896,-0.07500250718,-0.0431,0.014999692,0.22758728531,-0.13451645560599998,0.053614103104,-0.07720250717999999,-0.16999999999999998,-0.015700307999999996,0.16467611333537716,0.45110498889801975,0.07241512944523917,0.06375159421551577,0.15643282922822488,0.09161934487762337,0.38756155898376876,0.3129317393868635,0.11417572617732298,0.06370499596660995,0.04065139053295403,0.08097458895248069,22.28854456483916,-13.817324951115623,4.176059673208381,-0.004659824890582143,-11.578143869527086,-1.0644755925142677,22.28854456483916
Fairfax,QLD,0.1335,-0.0634,0.0259,-0.0194,-0.07,-0.008,FAIRFAX,Fairfax,QLD,-0.09954579281,0.06849020964,-0.01190794071,0.1905832177,0.0615,-0.000601799222,-0.23304579281,0.13189020963999998,-0.03780794071,0.2099832177,0.1315,0.007398200778,0.462716471426301,0.24996364432453977,0.13910288475260416,0.061294027870049915,0.0222916166405938,0.06463135498591141,0.24361183605968076,0.3894648626226299,0.11211389953951843,0.07243971800120191,0.11112899419593818,0.07124068958103084,-21.910463536662025,13.950121829809014,-2.698898521308572,1.1145690131152,8.883737755534437,0.6609334595119434,21.910463536662025
Monash,VIC,-0.1822,0.2116,-0.07139999999999999,0.0616,-0.07,0.0489,MONASH,Monash,VIC,-0.1244327451,0.004894750241,-0.06055731255,0.2892436921,0.1636457559,-0.001003976092,0.057767254899999995,-0.206705249759,0.010842687449999992,0.22764369210000002,0.2336457559,-0.049903976092,0.17020697934681836,0.5605649012121108,0.06820224403897604,0.06866045700415001,0.024042414997901652,0.10832300340004325,0.23188920646576752,0.3446094033993792,0.07764401364058807,0.08030807716533196,0.19038162686121077,0.07516767246772255,6.168222711894916,-21.59554978127316,0.9441769601612027,1.1647620161181953,16.63392118633091,-3.3155330932320703,21.59554978127316
Rankin,QLD,-0.0933,0.0072,-0.037000000000000005,0.032799999999999996,-0.07,0.1588,RANKIN,Rankin,QLD,0.1398019658,-0.1071895717,-0.01318778567,0.1473589287,-0.07,0.04034342717,0.2331019658,-0.1143895717,0.023812214330000005,0.1145589287,0.0,-0.11845657283,0.26846709981717987,0.35170618428605005,0.09922207451216113,0.06920070822538213,0.024559900206538185,0.18684403295268878,0.4826669661774087,0.2134457345541232,0.11157485152886287,0.07130486756407309,0.022852472030787958,0.09815510814474426,21.41998663602288,-13.826044973192687,1.2352777016701746,0.21041593386909585,-0.17074281757502274,-8.868892480794452,21.41998663602288
Macarthur,NSW,-0.073,0.0279,0.1707,-0.0379,-0.07,-0.0192,MACARTHUR,Macarthur,NSW,0.1379784725,-0.08149770783,-0.006228857338,0.2839647449,-0.07,0.0004433971947,0.2109784725,-0.10939770783,-0.17692885733799998,0.3218647449,0.0,0.0196433971947,0.26447972049326623,0.3410803976167982,0.25315725376224457,0.06104250563007228,0.022393362108153257,0.057846760389465283,0.47680359185946675,0.2374173965963069,0.11616152097561269,0.07533722375887068,0.022659989252441566,0.07162027755730148,21.23238713662005,-10.36630010204913,-13.699573278663188,1.42947181287984,0.02666271442883089,1.3773517167836196,21.23238713662005
